tm,actual,pred,ci_low,ci_high,rolling
2025-08-07,87053,85034.66185015994,77820.982620641,92917.01893845203,85970.186497707
2025-08-08,84820,81268.63819456514,74369.24985225698,88808.09699062323,82926.90426925247
2025-08-09,72350,69093.26123479825,63223.66994794513,75507.77662844665,72022.91249741902
2025-08-10,73104,68116.86242023128,62326.79283970082,74444.82115276104,70787.19365928593
2025-08-11,85071,79791.40744369793,73005.25036394947,87208.36748188348,83467.04091154395
2025-08-12,85223,80541.71579073774,73688.1762193197,88032.68469026388,84450.57476583282
2025-08-13,85279,81951.57215351083,74970.0807499215,89583.2058769541,85541.62588705323
2025-08-14,84685,82783.74969606817,75724.92730074971,90500.57171429493,84871.23867582592
2025-08-15,80573,74867.5791987681,68478.89806818117,81852.286955655,76679.01017237405
2025-08-16,78156,72460.45766066773,66273.08139175024,79225.49871126126,76849.84796112028
2025-08-17,78493,71597.06628523603,65479.747694443206,78285.88351582027,76344.09906820378
2025-08-18,91911,85559.14732884214,78244.82051987096,93557.21750015956,91381.5337781378
2025-08-19,93346,86622.64863406438,79213.48793202268,94724.81836451533,91437.33680243629
2025-08-20,93164,86260.92116329943,78874.19985260867,94339.42320614056,91047.52144278606
2025-08-21,94599,87857.0340572967,80326.70822378709,96093.29952673464,92453.44958717407
2025-08-22,93253,86184.31725289967,78791.68425178617,94270.56434804002,92089.48874193433
2025-08-23,83469,75712.90281923272,69214.1168617923,82821.88537868948,80778.32026474949
2025-08-24,83069,75404.6973373965,68928.4335314311,82489.44723154976,81811.42241037775
2025-08-25,95951,88313.95742540844,80724.6723557139,96616.74490010856,94664.98104424014
2025-08-26,91434,85195.78672995552,77870.53416661471,93210.12311288228,90955.06440005127
2025-08-27,88503,83214.75791930658,76051.54291246299,91052.66862947507,87990.71592589027
2025-08-28,91396,85776.89330568102,78386.27415458289,93864.33408818953,89719.6437399371
2025-08-29,91742,86208.60046744942,78775.01900508639,94343.64965467606,91207.0072144334
2025-08-30,81144,74886.28928142667,68424.62206062436,81958.1629164551,79292.42706189763
2025-08-31,78152,71942.51452683889,65731.03588032207,78740.96805454245,77109.02235235719
2025-09-01,89532,82690.22130324694,75546.70209172717,90509.21496053925,87967.83493793008
2025-09-02,87098,81422.34887307615,74384.53264152101,89126.0408660324,86675.36039267841
2025-09-03,88533,82282.83838207784,75162.35179237468,90077.88248714714,86753.63307987156
2025-09-04,88135,82820.01617449027,75646.33995947677,90673.98479314706,87464.64579986077
2025-09-05,88196,82229.17502482324,75101.09378106431,90033.80490002755,86896.23137302566
2025-09-06,77341,71867.01905179097,65632.91042937088,78693.2713116314,76576.6703263839
2025-09-07,73125,68572.52589502576,62620.49419074487,75090.2938150071,73205.87208960169
2025-09-08,83765,77770.02365420168,71015.74103686417,85166.70375988176,81826.91376972703
2025-09-09,80100,76637.66257264811,69978.0541832056,83931.04657100685,81355.9788448934
2025-09-10,80012,76361.2965219947,69717.92259516481,83637.71307959774,79437.98348504091
2025-09-11,81243,77876.93675001012,71095.3176384054,85305.43893778016,80697.24546117868
2025-09-12,80265,76110.62710925644,69477.57746323294,83376.93642283091,79486.79392489605
2025-09-13,70110,67032.37197166326,61186.44011997383,73436.84128929429,70529.63351767673
2025-09-14,69712,65555.2777080641,59834.56208144795,71822.94456390562,68505.54798945114
2025-09-15,82311,78067.75244089325,71251.12667074986,85536.52771464946,82164.4864242408
2025-09-16,84004,79200.72242363298,72281.30524699927,86782.52849737757,82614.08504790015
2025-09-17,84378,77509.66837401048,70730.00782925857,84939.1775263438,81439.20572276913
2025-09-18,77178,75105.38745323026,68529.7891736508,82311.93022068556,80000.61668484709
2025-09-19,75214,72171.90208025322,65848.0918194039,79103.02798397494,74578.39461105868
2025-09-20,65418,63483.28378349229,57916.88404753319,69584.67096793112,66127.31682902215
2025-09-21,64083,61340.12948356383,55958.22049536881,67239.65579591253,63631.88409876831
2025-09-22,73830,72030.31204094969,65706.7011141369,78962.50709199424,74720.23186692753
2025-09-23,74796,73253.32809414173,66818.70821529036,80307.5997754779,75248.88641113913
2025-09-24,79128,74259.0611907468,67728.36756843547,81419.47557438316,76318.06497027673
2025-09-25,77812,74712.69804132727,68135.82780369095,81924.40641797219,77935.10328939072
2025-09-26,74644,71885.283665799,65552.21287945806,78830.19932850677,75031.0537063781
2025-09-27,66185,63548.4018403588,57945.843943968,69692.64923242356,65961.65414113377
2025-09-28,64199,61963.885154114425,56497.502083794614,67959.16495029586,64735.95388657345
2025-09-29,73653,71016.06995098712,64747.34398757564,77891.7231300059,73079.26651731125
2025-09-30,73444,71302.20198363607,65004.61292694356,78209.8958642977,73703.83839735047
2025-10-01,73111,70696.50796725831,64444.980177939135,77554.46933127519,73240.31133530321
2025-10-02,70696,72232.00543896983,65838.54968135466,79246.31746882087,74043.12714219638
2025-10-03,63924,64331.45818151025,58632.67934214375,70584.12745577403,64155.07788616535
2025-10-04,60603,62914.22479568791,57337.00714953007,69033.94297019551,63438.7971564097
2025-10-05,56927,56416.34105773859,51411.89119655154,61907.92566208044,55648.1045015033
2025-10-06,53033,64551.97578153358,58822.36429204735,70839.68193816823,65376.92174852902
2025-10-07,56492,65202.66557682677,59411.943989322346,71557.79314488648,57093.111736435225
2025-10-08,59071,65479.356417885516,59657.104939417455,71869.83212233552,59757.651469646895
2025-10-09,61180,65576.89640868778,59740.32371505688,71983.69669215432,60616.67867875716
2025-10-10,66232,69683.33546778775,63476.20003492502,76497.44690521125,67126.01776721647
2025-10-11,64027,62407.26457930522,56844.24400711518,68514.70611138587,60461.1590305043
2025-10-12,62650,60199.29512214885,54829.56423141693,66094.91036456342,62286.60912542637
2025-10-13,73176,69691.88084122985,63471.59380719104,76521.76294709506,69708.7790544006
2025-10-14,72660,70005.40637321265,63753.471670264065,76870.43219898026,72790.19991513396
2025-10-15,73212,70040.46453765394,63777.88323119988,76917.99138060022,72339.58052974174
2025-10-16,72937,70875.68740256602,64532.249024960016,77842.67774153201,73101.71098021796
2025-10-17,71620,69160.67759762362,62965.62949321926,75965.24269288119,71243.21292267619
2025-10-18,61543,60007.613612798144,54628.53557016572,65916.35038207842,62608.243694412595
2025-10-19,60162,58391.67445442146,53153.971569355424,64145.491765225815,60295.7539658904
2025-10-20,69493,69392.76997812059,63164.40390523382,76235.28803439482,71039.10696795437
2025-10-21,70431,71036.93867367307,64657.21883200213,78046.14468863524,71512.88009314291
2025-10-22,69634,69875.69821096747,63592.69603043535,76779.4653356636,70109.4916665224
2025-10-23,69621,70065.37375462549,63759.139790796595,76995.33926403412,69836.22562248852
2025-10-24,68362,68630.55673725123,62448.331430770224,75424.8065584699,69142.25409585999
2025-10-25,60537,60247.015135753485,54815.99227837905,66216.12930647183,60657.105218331046
2025-10-26,60017,59925.15453793789,54519.52258045352,65866.75701527878,60915.98761519018
2025-10-27,70932,70322.31678338285,63974.80895842234,77299.61711955069,70148.14306734195
2025-10-28,71448,71475.16018146333,65019.72589093996,78571.5173812768,72177.71924820002
2025-10-29,70693,70927.75504042846,64514.00125243685,77979.14154154251,71403.79609575568
2025-10-30,71052,71904.77801799698,65396.26442667187,79061.04648553467,71637.68564940276
2025-10-31,68971,70217.90245157323,63856.75922721811,77212.71615357941,70298.23487482205
2025-11-01,60385,61233.63660227543,55682.28376748745,67338.44228079003,61079.52846073424
2025-11-02,60384,61107.37879364358,55563.72175196587,67204.13293585263,61153.70755532389
2025-11-03,71072,72379.30505037184,65808.89318378169,79605.71202656013,71771.22952100105
2025-11-04,70465,72247.11194675695,65684.72770609347,79465.12632285773,71570.23958122861
2025-11-05,69436,71417.41209625026,64922.50459648591,78562.07615874553,70570.31777373147
2025-11-06,70055,72060.71663678341,65500.8086112936,79277.59965563942,70455.07127597042
2025-11-07,67814,70324.83150208685,63917.55255244269,77374.39448638441,69452.50933812416
2025-11-08,59993,62046.80555649933,56389.51599020594,68271.66383968772,60974.67600292442
2025-11-09,59258,60070.526505862326,54589.688359339234,66101.64415921546,59235.56991551092
2025-11-10,70285,70676.08131389123,64223.46054306975,77777.00590484268,69795.13289790109
2025-11-11,70873,72027.61479136736,65447.57748072672,79269.20280680181,71881.08299588079
2025-11-12,70050,71886.33429328566,65311.19126521516,79123.42368923094,71339.6327149994
2025-11-13,69937,72363.72858435939,65738.3250165126,79656.87007260208,70826.31828317621
2025-11-14,68713,71260.37836061386,64730.46072534402,78449.02488249446,69944.50368504168
2025-11-15,60524,62497.59945624134,56766.34773341896,68807.49059522995,61312.13867005924
2025-11-16,60424,61234.39302471264,55615.11282403579,67421.43814341862,60516.79143192289
2025-11-17,74529,73639.98620683394,66877.91560608167,81085.77427089482,72843.04419038353
2025-11-18,76163,75779.26606003437,68816.45452435585,83446.57108955046,76512.2601394462
2025-11-19,75238,75545.8183135487,68595.95986925358,83199.80762047485,75998.29864138702
2025-11-20,73692,75307.80490987723,68372.90522665624,82946.09482431498,74726.96847651608
2025-11-21,72132,73574.80663443415,66793.71146183411,81044.33864836967,72830.08818530836
2025-11-22,62085,64183.85515630949,58263.80316965803,70705.4301060707,63683.70177193965
2025-11-23,61211,63261.715828571534,57422.66428368193,69694.51416959449,62437.139832939414
2025-11-24,71960,73361.20788439836,66585.55622379226,80826.34023765761,71742.35398343204
